feature	group	avgExpr	logFC	statistic	auc	pval	padj	pct_in	pct_out
IGKC	B1	2.99218608838009	2.94440330933598	172924951.5	0.865735539483935	0	0	74.5296167247387	4.96573128152076
EBF1	B1	2.48192067946262	2.47435947546025	179251706	0.897409951838707	0	0	79.6864111498258	0.630774314984841
LY6D	B1	2.19170390601149	2.14569152194207	175222497.5	0.877238027751507	0	0	77.1428571428572	2.09635472793368
BANK1	B1	2.27554779508876	2.09929152946587	174127920	0.871758109242063	0	0	79.3031358885017	15.6730893572999
CD79A	B1	2.04975143639319	2.04469618142022	178875922	0.895528617993316	0	0	79.2682926829268	0.567553199132147
IGHM	B1	2.59910021678127	1.92695057633496	169916161	0.850672260043248	0	0	84.1114982578397	54.2106700001437
MS4A1	B1	1.81912563543756	1.81561802301143	175095234.5	0.876600895278687	0	0	75.4703832752613	0.43105306263201
CD79B	B1	1.80640537815548	1.73461178841731	174151556	0.871876441067712	0	0	77.4912891986063	11.2777849619955
AFF3	B1	1.89936889082609	1.49435516009392	164178842	0.821948811422496	0	0	78.5714285714286	27.498311708838
PAX5	B1	1.46886497935744	1.466189244124	173507352.5	0.868651285531902	0	0	73.8675958188153	0.293116082589767
IGLC1	B1	1.48616053152747	1.46487629546262	171470130.5	0.858452089453373	0	0	72.7526132404181	1.31327499748552
IGHD	B1	1.35582639004312	1.32284194371266	163512450.5	0.818612573362252	0	0	65.8188153310105	4.83928904981537
BACH2	B1	2.09785401667061	1.30409277970052	155022007	0.776105817569232	0	0	79.0940766550523	58.0901475638318
RALGPS2	B1	1.53989252141502	1.29867217390068	164029771.5	0.821202501369382	0	0	75.7491289198606	28.3446125551389
KLF2	B1	1.70513454712159	1.2033668592103	158336615.5	0.792700151429291	0	0	81.0104529616725	35.9857465120623
RIPOR2	B1	1.90770443812431	1.17089290834511	158211877	0.792075657672577	0	0	87.4216027874564	50.9590930643562
CD24	B1	1.21864753525989	1.14412513522359	162587710.5	0.813982933302574	0	0	67.2473867595819	6.91265428107533
HLA-DMB	B1	1.28865197063567	1.11601858258762	160414164	0.803101239044756	0	0	70.2787456445993	19.9606304869463
IKZF3	B1	1.61983435633149	1.11100420256231	154872921.5	0.775359432419766	0	0	77.1080139372822	35.8047042257569
SYK	B1	1.74137335047048	1.09210717646968	164290146.5	0.822506048886023	0	0	88.7456445993031	56.0498297340403
CD55.1	B1	1.14432070086597	1.07366969698925	160284738	0.802453277677925	0	0	65.0871080139373	7.77476040633935
FCMR	B1	1.0342086917888	1.03251075967505	161776035.5	0.80991934451498	0	0	62.1254355400697	0.288805551963447
BTLA	B1	1.14881867337975	1.0160770344506	157901000	0.79051927575676	0	0	66.411149825784	13.8008822219349
CD37	B1	2.04149573936476	1.01357153737427	162509309	0.813590422191192	0	0	89.6864111498258	75.3768122189175
FCRLA	B1	1.026489305031	0.994814184750312	161222736.5	0.807149295403467	0	0	63.6933797909408	3.50877192982456
FOXP1	B1	2.44293935008969	0.973664621031955	154181198.5	0.771896374142844	0	0	89.2682926829268	85.995085995086
VPREB3	B1	0.972468036267388	0.970245442711283	151804448	0.759997354605827	0	0	52.1951219512195	0.323289796974008
CD74	B1	3.70068377216636	0.967294604440489	127832910	0.639985683631383	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000347862034242866	0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103146271484518	88.397212543554	79.2174950069687
BCL11A	B1	1.05827687764953	0.966512876992586	157984354	0.790936581180484	0	0	64.006968641115	7.67418135839188
SWAP70	B1	1.33890557154723	0.946180958498865	154464993.5	0.77331717209766	0	0	74.8432055749129	43.0176588071325
MEF2C	B1	1.88328526031422	0.924288750460075	141081877	0.706315623260424	0	0	79.3379790940767	51.9418940471572
NEDD9	B1	1.707158709523	0.919410365997633	152826437.5	0.765113866846858	0	0	87.4564459930314	57.0728623360202
MZB1	B1	0.895784638771759	0.882319512054745	156431397	0.783161820774144	0	0	57.5261324041812	0.99716941822205
BLNK	B1	1.35572213773258	0.861574907277652	148470396	0.743305678350608	0	0	73.7979094076655	36.344957397589
LRRK2	B1	0.973962201713495	0.840290369702353	152088582.5	0.761419852241418	0	0	61.8118466898955	14.7894305789043
ARHGAP15	B1	2.69192661098406	0.817158392159035	141659297	0.709206432312979	0	0	94.8432055749129	79.4976794976795
NAPSA	B1	1.23766313444568	0.817072851852509	150122783.5	0.751578229947935	0	0	74.7735191637631	33.6681178786442
TMEM163	B1	1.04455658178471	0.813007908019378	144940264.5	0.725632345080355	0	0	59.4425087108014	18.6329870540397
TNFRSF13C	B1	0.820883151184956	0.809513267777524	153951513.5	0.770746473763162	0	0	55.191637630662	1.6940385361438
BLK	B1	0.814898050717112	0.801324140662113	154058450.5	0.77128184567209	0	0	55.191637630662	0.98854835696941
POU2AF1	B1	0.801815091384346	0.797192561505806	154886894	0.775429384672003	0	0	55.5052264808362	0.666695403537509
HLA-DOB	B1	0.897219560025588	0.788117594108039	152288464	0.762420543678567	0	0	61.219512195122	15.2190467979942
STK17B	B1	1.64393503362817	0.764159267506734	144695598.5	0.724407443470345	0	0	86.5505226480836	62.9323103007314
CMAHP	B1	0.93068598799345	0.755543518269258	148864525	0.745278855034953	0	0	61.3588850174216	15.8153368679684
PRKCB	B1	1.78559357228327	0.750292780134302	147493782	0.738416335078723	0	0	87.8745644599303	71.0691552796816
