feature	group	avgExpr	logFC	statistic	auc	pval	padj	pct_in	pct_out
PID1	0	1.72637701252269	1.04747984449897	579382482	0.783804950206656	0	0	89.228138739619	41.9207443715211
FCER1G	0	3.68101193195512	1.45653240176956	639786892	0.865521738413436	0	0	99.8534440644846	77.9729168397441
ZEB2	0	2.95770477807762	1.3030050627205	584736839.5	0.791048475932855	0	0	98.8112685230418	69.578798703996
CEBPB	0	2.26212561704833	1.11727293801118	589533091	0.797536980133326	0	0	98.0214948705423	65.6558943258287
CTSS	0	4.63481889412424	1.63597408407044	594221673	0.80387982599978	0	0	99.9267220322423	91.3848965689125
ALOX5AP	0	2.10455867826848	1.2243469281048	615805960.5	0.83307965843307	0	0	97.7609509851816	52.3768380825787
APOBEC1	0	1.98907041771057	1.26401957346016	636595535.5	0.861204381399224	0	0	96.4175215762905	52.5313616349589
C3AR1	0	1.62402834957025	1.18520568924083	638972190	0.864419586587342	0	0	92.0615534929165	35.0868156517405
CLEC12A	0	1.42848492738863	1.17185626167624	651738510	0.881690224072585	0	0	90.5064321771698	20.8606795713218
APOC2	0	1.78845178166306	1.58471113472888	658386859	0.890684297968145	0	0	87.2007816316561	16.2515576971006
APOE	0	4.08425288194901	2.79447671521127	667065525	0.902425041921102	0	0	98.5507246376812	56.9876215003738
TYROBP	0	3.18297900783352	1.28740144939932	603881065.5	0.816947324401448	0	0	99.7394561146393	72.8802857854947
FTL	0	4.03910504555646	1.83158832093316	690984180.5	0.934782873173562	0	0	99.9674320143299	91.5676663620503
CTSC	0	2.53287314462007	1.07389235973215	570377487.5	0.771622739862085	0	0	98.7787005373718	73.4867491899975
IFITM3	0	3.12141504972398	1.76373059853274	617144375	0.834890303288792	0	0	99.4137762579385	59.6195065215585
LAMP1	0	2.57618056377682	1.12218360761002	606780097.5	0.820869216593569	0	0	99.5277642077837	76.0206031403173
IFI30	0	2.5185470371046	1.3457226700896	611519842.5	0.827281277208334	0	0	98.2413287738153	62.0337293345518
CYBA	0	3.02741547833509	1.08136392218291	657282070	0.889189708273019	0	0	99.6906041361342	90.6255711556036
CTSH	0	2.49048396474834	1.26099017394054	621654839	0.840992186105002	0	0	99.1206643869077	60.5466478358395
GPX1	0	2.42298004655953	1.15382361121257	612388649.5	0.828456623803253	0	0	98.9496824621397	73.6462573730996
ARG1	0	1.16991394669917	1.07198075878805	543798554.5	0.735666010233848	0	0	52.1983390327308	6.22081914098197
PSAP	0	3.61648828047775	1.53700814161163	623905097.5	0.84403639922214	0	0	99.7720241003094	83.7999501536928
CSTB	0	2.61297747739978	1.64699234493183	665338776.5	0.900089047885883	0	0	98.4448786842534	66.5647586607959
LYZ	0	4.68166158640301	3.32453321784644	687053106	0.929464804801707	0	0	99.6173261683765	59.7241837667193
CD68	0	1.81645226170681	1.11792682890342	617378776	0.835207407567642	0	0	96.2465396515226	50.0623078840243
