feature	group	avgExpr	logFC	statistic	auc	pval	padj	pct_in	pct_out
PID1	0	1.7593120002708	1.10148485634639	443283479	0.794916326549767	0	0	89.6916047972587	41.0802765688879
FCER1G	0	3.73655511071781	1.51113392589984	493856301.5	0.885605838316916	0	0	99.9714448886351	78.2833135514987
ZEB2	0	2.98958422860965	1.37117917710623	449050522	0.805258053353925	0	0	99.4574528840662	68.8238286327926
CEBPB	0	2.37724087870902	1.25295158493081	460218869.5	0.825285647859271	0	0	98.8387588044927	65.7849620377174
ANXA5	0	1.62860903185637	1.02634496028622	479012152	0.85898662657026	0	0	95.7452884066248	51.9885453757607
CTSS	0	4.66713383833876	1.71963217956956	452221071.5	0.810943628569518	0	0	99.9619265181801	91.7198892217261
BRI3	0	2.03315627125065	1.01654149368014	480261412	0.861226857070945	0	0	98.9434608794974	73.3548107537821
ALOX5AP	0	2.16535707270053	1.30762341550969	475409705.5	0.852526553786063	0	0	98.6674281363031	51.2481395655532
APOBEC1	0	1.99759928176242	1.26945389959538	481458992	0.863374412618237	0	0	96.935084713497	52.6837355639707
C3AR1	0	1.62660818113401	1.18218064734873	480127471.5	0.86098666880479	0	0	91.7951646678089	34.8405207332467
CLEC12A	0	1.48406031288649	1.23647212565206	499454600.5	0.895644965617682	0	0	92.0616790405483	20.3093502138322
PLBD1	0	1.45208750849002	1.08175217401341	461051851	0.826779388604037	0	0	87.7974490767181	21.9389965899885
APOC2	0	1.83738506054935	1.62323184128851	499896374	0.896437174180427	0	0	88.5779554540263	16.2399442340662
APOE	0	4.01716916246157	2.75666890234562	498776620	0.8944291797965	0	0	98.3818770226537	56.5195274967501
TYROBP	0	3.23328244767608	1.34523721160047	465679058.5	0.835077109954675	0	0	99.9714448886351	72.8988865653083
FTL	0	4.08445428508822	1.88139476530184	526222698.5	0.943646750342179	0	0	100	93.3419996608828
CTSC	0	2.57746868228602	1.15127613408084	442200314	0.792973945243814	0	0	99.0481629545022	73.6204525330168
IFITM3	0	3.22577887154032	1.90828369481105	476115594.5	0.853792386413297	0	0	99.7905958499905	58.6371257936284
LAMP1	0	2.60652277448677	1.15022791206902	463188252.5	0.830610482052966	0	0	99.8191509613554	76.9117730175776
IFI30	0	2.60335711728363	1.46516073945112	476259098.5	0.854049724387594	0	0	99.114791547687	61.547881459711
CYP4F3	0	1.26141365873947	1.0551616784351	492825253.5	0.883756915612859	0	0	89.3870169426994	19.9419732851033
INPP4B	0	0.411336853800236	-1.10256619002643	133501061	0.239400243925212	0	0	38.0449267085475	71.4350308031425
CYBA	0	3.09290047177088	1.13856276402207	511225632	0.916753320796607	0	0	99.9619265181801	92.573334086927
ETS1	0	0.106356508950013	-1.00562413439311	116809413.5	0.209468013776017	0	0	12.5071387778412	65.2668663689972
CTSH	0	2.53012226272482	1.32641089549281	477393631	0.856084220257563	0	0	99.6668570340758	59.3963714463347
GPX1	0	2.49101462139437	1.24299499284979	476138775	0.85383395475225	0	0	99.581191699981	74.2553552252303
ARG1	0	1.20713728265469	1.10928372450136	412372276	0.739484935347403	0	0	52.8745478774034	6.18888826089414
PSAP	0	3.63051522612863	1.59921636340776	475856620.5	0.853327982323128	0	0	99.9143346659052	84.0577252774167
CSTB	0	2.70711607357814	1.7504105807095	512124585	0.918365364670006	0	0	99.143346659052	67.0472314851448
LYZ	0	4.78373050516592	3.44887268311716	520885639.5	0.934076090627023	0	0	99.8857795545403	58.9121874941125
CD68	0	1.84074895888187	1.13669826175692	466725116.5	0.836952949281225	0	0	96.8208642680373	49.6731287326438
SKAP1	0	0.147829370336054	-1.06859214126274	160214072.5	0.287303245003809	0	0	11.5172282505235	49.6580568586447
NPC2	0	3.30338968812424	1.48210315559271	509065688	0.912880009853672	0	0	99.8572244431753	87.4790406752199
TGFBI	0	2.12369700666021	1.75486375651377	512605954	0.91922857770483	0	0	97.0873786407767	24.4371597053449
LRMDA	0	2.70474115841397	1.22933145261962	422047656	0.756835271851987	0	0	98.6388730249381	62.5501610806534
LGALS3	0	2.6431067434953	1.93385010214937	502749370	0.901553297851666	0	0	98.8958690272225	40.0666930424462
CTSB	0	3.07417535291042	1.19914492329638	414889138	0.743998288066945	0	0	99.7239672568056	79.5813786996741
ATP6V0C	0	2.6781238107591	1.27302870726078	492789654.5	0.883693077848428	0	0	99.8191509613554	81.3881195953202
MSRB1	0	1.63169197634396	1.18138701490238	483959305	0.867858088909689	0	0	95.6215495907101	35.2926769532207
HLA-DMB.1	0	1.94372987229408	1.23651316994571	471650618.5	0.845785586051461	0	0	95.631067961165	47.1429378850393
CFB	0	1.39231214593856	1.08985001806198	470558314	0.843826815373672	0	0	86.4934323243861	23.2088019744155
AIF1	0	2.08132359799716	1.10651061538747	442045119	0.792695642430506	0	0	98.1819912430992	52.6554758002223
LST1	0	1.61206490925539	1.09936093090873	482022091.5	0.864384188545443	0	0	96.106986483914	42.2144350873227
PLA2G7	0	1.77618746122948	1.48749682027846	502643585.5	0.901363600219948	0	0	93.4037692747002	19.6970553326174
CD74	0	4.61118632346773	2.33238603657499	478991082.5	0.858948843773617	0	0	99.4955263658861	74.1517360914863
PRDX5	0	2.8458139079461	1.5954975869025	500620425.5	0.897735576638175	0	0	99.7334856272606	76.8835132538292
FTH1	0	4.85419903701967	1.75044976645523	520279720	0.932989527906005	0	0	100	97.9935567738654
MS4A7	0	1.28485874914109	1.17575445130542	454941465.5	0.815821964234376	0	0	69.2461450599657	8.64183575425309
MYOF	0	1.21752944354398	1.0515552847952	497434999	0.892023323301808	0	0	89.4631639063392	14.5066787241659
CYBB	0	2.48550808433636	1.7115424178895	486734969.5	0.872835538177711	0	0	99.0862364363221	40.2343676406865
DST	1	2.24084964714827	1.81220825468911	444758270.5	0.941287631842157	0	0	99.2202048417132	30.2347571509101
PLCL1	1	2.05115767620697	1.70701675509139	441557875	0.934514305968381	0	0	97.6256983240224	25.4923353881403
SERPINE2	1	1.67378157008079	1.37166809104793	423898256	0.897139439551491	0	0	95.0884543761639	20.189842343571
INPP5D	1	2.86209084825192	1.33928665677615	445912511.5	0.943730470681879	0	0	99.9883612662942	87.9784699870893
SRGAP2	1	3.09134916998745	2.06384117796063	457631429.5	0.968532421097711	0	0	99.9650837988827	69.3997417853181
BTG2	1	2.60867268119926	1.3438089400129	406435116.5	0.860180402890959	0	0	97.4162011173184	78.015383776117
CFH	1	1.978220600087	1.72419977379374	451444218	0.955437789593739	0	0	98.0446927374302	21.3372611059589
RGS2	1	1.84335417463557	1.06052629941106	393577838.5	0.832969224227658	0	0	96.2406890130354	59.1402542141727
IVNS1ABP	1	1.94820524105745	1.35109820966974	443854161.5	0.939374173057949	0	0	98.5917132216015	56.8054115978397
GLUL	1	2.2861317005593	1.83552238081754	443652876.5	0.93894817292812	0	0	97.8119180633147	41.396177695343
FCGR2A	1	2.17490409392414	1.24542797426921	405426471	0.858045702769484	0	0	99.2551210428305	55.197934282545
F11R	1	1.39138272677224	1.07408368228413	423222856	0.89571002112644	0	0	94.4599627560521	31.3730838470351
TAGLN2	1	0.228029934094236	-1.14147200583594	66898033	0.141583181773499	0	0	27.7583798882682	81.7776807957376
FRMD4A	1	2.42408452021604	1.86477617467089	454714313	0.962358627681783	0	0	99.8021415270019	44.252904915171
VIM	1	0.0997514038678317	-1.54345735627493	62918927	0.133161790847191	0	0	10.1606145251397	77.5625988762206
CACNB2	1	1.65247608568929	1.47897685654333	430485351.5	0.911080386657303	0	0	90.2001862197393	13.2489589584129
PLXDC2	1	3.42180393887699	2.84581363287947	456994181.5	0.967183747670814	0	0	100	32.1768225046824
