feature	group	avgExpr	logFC	statistic	auc	pval	padj	pct_in	pct_out
LYZ	0	4.87057775750091	3.28825819404886	326561084.5	0.913390808236692	0	0	99.9679178697465	61.9553277187843
CD74	0	4.773100933465	2.33816426761591	313831863.5	0.877787198347856	0	0	99.7433429579724	76.012624017018
APOE	0	3.57239854348898	2.05821151959392	289438760	0.809559728576373	0	0	97.5938402309913	59.7234573067601
IFITM3	0	3.45226768316645	2.01724610423747	311657758	0.871706228893466	0	0	99.8556304138595	61.6955240536346
PLAC8	0	3.12238802007401	1.77218178037193	288886426.5	0.808014852698852	0	0	95.5887070901508	57.0992659238723
CYBB	0	2.60958870601388	1.72161996004466	311786960.5	0.872067608070296	0	0	99.6631376323388	44.5554567487925
PRDX5	0	2.98414106879137	1.63001427939433	319227869.5	0.89287981812261	0	0	99.8075072184793	78.5775313420864
TGFBI	0	2.11620801446936	1.61584324185348	316314562	0.884731301908128	0	0	96.5832531280077	29.9035762236055
CCR2	0	2.24096610086498	1.58484430848653	309654952.5	0.866104385253135	0	0	93.6798203400706	38.1440602605011
IFI30	0	2.70204269706597	1.46543546720695	306012112	0.855915366455421	0	0	99.4385627205646	64.3109971927255
PID1	0	2.14127066791855	1.44291392604126	309016002.5	0.864317243169698	0	0	96.743663779275	43.9347177904483
FTL	0	3.80507418648708	1.43150370835561	308692654	0.863412837954945	0	0	99.9839589348733	93.8396889330613
ALOX5AP	0	2.35969923790937	1.4256872564845	314249799.5	0.878956164642219	0	0	99.1498235482836	54.7279036110966
LGALS3	0	2.31319592723056	1.42402835730489	293871314	0.821957574715363	0	0	98.5402630734681	44.4874544471762
HLA-DMB.1	0	2.18559567393311	1.41256333010351	315925787	0.883643898882088	0	0	97.2890599935836	50.5745322662203
FCER1G	0	3.74724021292636	1.41041812482378	308066247.5	0.86166078002007	0	0	99.9679178697465	79.899217101707
CTSC	0	2.88792004808564	1.40971623886673	308717188.5	0.863481460910491	0	0	99.7914661533526	75.4337326288992
CTSS	0	4.48477315068326	1.38935593337166	259531821.5	0.725910071513821	0	0	100	92.3296891074262
CEBPB	0	2.57755994147349	1.38171443884887	301808049	0.844156609262024	0	0	99.1658646134103	68.2115394674897
PLBD1	0	1.78096512009723	1.36580018793922	314471737	0.879576923459251	0	0	95.9576515880654	25.9576990810971
ZEB2	0	3.06840376802087	1.35642900655758	288558726.5	0.807098276345863	0	0	99.6470965672121	71.0850726229708
NPC2	0	3.28901088800066	1.35576149308377	313812228	0.877732277887132	0	0	99.9197946743664	88.3942738574741
GPX1	0	2.64194817886744	1.3177458366445	310351266	0.868051972950319	0	0	99.7914661533526	76.118986591341
CLEC12A	0	1.63158868346037	1.30793352165483	321840639.5	0.900187731451262	0	0	94.7385306384344	25.3631148541438
FTH1	0	4.54122569608475	1.27306783265035	302060087.5	0.84486156052581	0	0	100	98.1430140712455
CSTB	0	2.35510519870038	1.22975068846886	296107050.5	0.828210925973876	0	0	98.6846326596086	69.487890359366
TYROBP	0	3.21234742440402	1.22182163344644	287556418	0.804294821144459	0	0	99.9679178697465	74.9158689473592
CTSH	0	2.49659604792145	1.19043782241967	291779009	0.816105401122929	0	0	99.8075072184793	62.3807780160764
PLA2G7	0	1.59429978146625	1.17503645282236	299209907	0.836889610424954	0	0	90.8245107475136	25.4677337797074
PSAP	0	3.33135168834903	1.14841052123946	265336689.5	0.742146277620086	0	0	99.9839589348733	85.2312950079336
APOC2	0	1.4931643652391	1.12068228962792	292554253	0.818273757296858	0	0	84.1193455245428	22.1129535666335
LST1	0	1.69966340073378	1.11459135729731	307988193.5	0.861442463112361	0	0	96.9521976259224	46.1369461735628
HLA-DMA	0	2.01952668979101	1.08774913594878	302260295.5	0.845421541967615	0	0	98.6204683991017	61.5577758016425
AIF1	0	2.13511548040396	1.08372711542934	282277470	0.789529612400306	0	0	98.4921398780879	56.0129727467699
TRPS1	0	1.95262850298745	1.07862342083487	286633029	0.80171210365282	0	0	96.3747192813603	54.8534463217729
ATP6V0C	0	2.54979369355134	1.0359230048306	292307208	0.817582772844236	0	0	99.7754250882259	82.7657756621506
APOBEC1	0	1.87190506865518	1.03553690425971	287473704.5	0.804063471623028	0	0	95.8934873275585	56.093180589702
LRMDA	0	2.58186115030777	1.00152323164659	251443852	0.703288034323108	0	0	98.6685915944819	65.2351310352043
GPR141	0	1.38747818614781	0.997036219145256	289130279	0.808696907734303	0	0	85.274302213667	24.2628724869662
MSRB1	0	1.54302325863315	0.995080137196581	292809705	0.818988256114447	0	0	94.353545075393	39.9243256438423
ATRNL1	0	1.38063881756865	0.981647285870796	294552724	0.823863477347924	0	0	87.6644209175489	32.8468553294624
CLEC4A.1	0	1.2732545975768	0.972339575754262	296006983.5	0.827931038741912	0	0	83.6862367661213	27.7623755470698
CERS6	0	1.81631208273937	0.96459142550124	283584646.5	0.793185782888811	0	0	95.9897337183189	57.3538386427438
CD300C.1	0	1.74142477435327	0.955158068899052	286806515.5	0.802197345103729	0	0	97.0163618864293	51.7410332862548
C19orf38	0	1.60570757769835	0.945627268761271	296676851.5	0.829804658419739	0	0	96.3426371511068	53.069693640913
CYP4F3	0	1.23168905291944	0.943608440455966	300806657.5	0.84135571890809	0	0	87.0067372473532	25.3735767467001
ATOX1	0	1.97349271049188	0.938847529331642	297791452.5	0.8329221955562	0	0	98.5563041385948	72.9664696343569
CYBA	0	2.98483621253879	0.933941989298436	304154492	0.85071960641624	0	0	99.9679178697465	93.1230492929504
S100A6	0	2.19418534989513	0.932402631348734	251942827	0.704683666565197	0	0	93.5996150144369	57.3956862129693
C3AR1	0	1.45540225410422	0.904305726324467	281401141.5	0.787078523048612	0	0	88.3221045877446	39.4605150738435
CD3G	1	2.68224500696723	2.09704408984374	296079047	0.911368177534748	0	0	97.3407103337498	27.793108205995
SKAP1	1	2.7087645824246	1.83017597175959	281443471.5	0.866318053570362	0	0	98.7685168659647	38.0014487254665
CD3E	1	2.04736863691984	1.6047632786037	291482151.5	0.897218360732099	0	0	95.1276102088167	26.0598116656894
BCL11B	1	1.87109708861222	1.54119659316644	295707023	0.910223041334417	0	0	94.0389077280029	23.3934669380152
INPP4B	1	2.70423701984754	1.50513859918086	271162179	0.834670954920971	0	0	93.5927181866857	63.2437653064744
CD3D	1	1.97439655122166	1.50207224207797	282900098.5	0.870801732870836	0	0	93.8068891665179	26.6306784864268
ST6GALNAC3	1	1.7575406606632	1.49477948495981	271986881	0.837209490377515	0	0	77.7797608424058	18.7592701183126
ETS1	1	2.24417786902295	1.42381856008392	281692541.5	0.867084722047171	0	0	97.2514724254864	52.6163292056155
GIMAP5.1	1	2.04117868979117	1.41514898873334	275867372	0.84915412491496	0	0	93.8425843298233	36.6355075713152
THEMIS	1	1.72060113195648	1.38643722179255	263544694	0.811223387481833	0	0	75.0847760128503	20.4649718878273
LTB	1	1.93086785184232	1.38635992879383	278507216	0.857279893488026	0	0	92.5040157058719	35.2971611879549
CD247	1	1.83640274073103	1.38424077148339	283981575	0.874130652214634	0	0	91.7901124397644	32.2634610741265
RABGAP1L	1	2.18262942954481	1.35355364174707	273094438.5	0.840618690287193	0	0	94.3244690344458	53.6373357248801
CD4	1	1.44783189764142	1.33475046413164	279891960	0.861542307962875	0	0	77.315723719436	9.84270980649167
IL7R	1	1.86504735290319	1.29807150447054	256450435	0.789386374828285	0	0	79.9214706407282	38.9051774688697
ICOS	1	1.49954761198407	1.28536995311294	277513217.5	0.854220242321906	0	0	80.9744779582367	18.6316443034045
ITK	1	1.77643158420854	1.2825479696513	276900533.5	0.852334324672067	0	0	91.8971979296805	32.2306922838122
ATXN1	1	2.07931831738651	1.2636629195544	272109510.5	0.837586959249627	0	0	92.1292164911655	55.817322617364
CTLA4	1	1.4849297288929	1.21037348335392	260067891.5	0.800521356418914	0	0	73.335713010887	23.9194922562174
CAMK4	1	1.48968767295514	1.20363411510177	276246945	0.850322497877371	0	0	84.3476708905943	22.0016556862475
S100A10	1	2.40445747783366	1.20096054614194	262332383.5	0.807491744793212	0	0	95.6451900767446	65.8773412438343
GRAP2	1	1.73479536944164	1.1998809758453	272187250	0.837826251111565	0	0	89.8625736212743	38.5171260046221
CXCR6	1	1.37483616795477	1.18471012788974	248705748.5	0.765547265331681	0	0	61.8954131715153	14.8822048221862
LAT	1	1.43113022642534	1.16652311822876	282465109.5	0.869462782559442	0	0	86.1324290558629	23.269290469456
SHISA5	1	2.84085097668387	1.14598940990832	277995893	0.855705977618723	0	0	99.5002677137248	89.077644786313
GIMAP4	1	1.80096331527251	1.11865307141691	254754017	0.78416458896852	0	0	89.0951276102088	37.4943948121831
CD5	1	1.30636857257544	1.118098750142	265831970.5	0.818263909384496	0	0	73.5320364090666	17.7037701355593
CD2	1	1.52679178534944	1.09954042481522	267250704	0.822630947773073	0	0	83.9014813492772	31.9737159808216
RORA	1	1.28952632230064	1.0935014150867	267033050.5	0.821960983195576	0	0	74.6742816348385	19.3870511538064
CD226	1	1.40206742152423	1.06349612650224	257917233.5	0.79390136327242	0	0	75.9593075138319	25.1509089027629
SNTB1	1	1.27789812464562	1.06225480232063	265167191	0.816217635298179	0	0	75.0847760128503	19.0007243627333
PTPN22	1	1.77679439652094	1.05905743955552	257769999.5	0.793448158685298	0	0	90.3623059075495	47.3509020040702
IL18R1	1	1.44431536863526	1.05299718023521	249088114	0.766724233956844	0	0	72.3005532750312	26.3771515297851
LCK	1	1.50589828624438	1.05266197135626	264646048	0.814613492245986	0	0	83.9193289309299	32.8532992997827
CCND2	1	1.70440446181478	1.01189780639394	251624574	0.77453177370345	0	0	87.096198465108	43.5928391569797
ARHGAP15	1	2.83155413881867	1.00885774442884	246353783	0.758307622631265	0	0	99.3931822238087	78.9331171742955
ABLIM1	1	1.65457710761788	0.997772554768729	254930796	0.784708736744895	0	0	90.7371051222559	40.9696112586665
RAC2	1	2.26223016487316	0.982357013251697	264439120.5	0.813976543632203	0	0	96.6803498126004	80.888896554103
CD28	1	1.21486997806222	0.977013803692416	261925036	0.806237878461029	0	0	74.4601106550062	22.079265979097
TOX	1	1.33458636328729	0.964220220131982	246564687	0.758956811407244	0	0	71.4260217740496	25.3975371667069
